"","gene","pval.methgroup"
"81","Pocillopora_acuta_HIv2___TS.g10396.t1",0.0189377602200163
"82","Pocillopora_acuta_HIv2___RNAseq.g27639.t1",0.000644295152665059
"83","Pocillopora_acuta_HIv2___RNAseq.g27640.t1",0.0282887275186766
"84","Pocillopora_acuta_HIv2___RNAseq.g27668.t1",4.13550070446973e-08
"85","Pocillopora_acuta_HIv2___RNAseq.g27669.t1",0.0341751361971414
"86","Pocillopora_acuta_HIv2___TS.g10429.t2",0.6712397278385
"87","Pocillopora_acuta_HIv2___RNAseq.g27674.t1",0.604183790347322
"88","Pocillopora_acuta_HIv2___RNAseq.g27680.t1",0.487832461576038
"89","Pocillopora_acuta_HIv2___TS.g10440.t1",0.588863506298534
"90","Pocillopora_acuta_HIv2___TS.g10443.t1",0.296104074754639
"91","Pocillopora_acuta_HIv2___RNAseq.g27689.t1",0.682567130274518
"92","Pocillopora_acuta_HIv2___RNAseq.g27690.t1",0.945894366266577
"93","Pocillopora_acuta_HIv2___RNAseq.g27691.t1",0.533145746578958
"94","Pocillopora_acuta_HIv2___RNAseq.g27694.t1",0.000471125310077342
"95","Pocillopora_acuta_HIv2___RNAseq.311_t",0.584116285493113
"96","Pocillopora_acuta_HIv2___RNAseq.g27697.t1",0.00549532857652383
"97","Pocillopora_acuta_HIv2___RNAseq.g27700.t1",2.38184557900143e-45
"98","Pocillopora_acuta_HIv2___RNAseq.g27702.t1",0.000976898901694671
"99","Pocillopora_acuta_HIv2___TS.g10461.t1",0.000461995707875498
"100","Pocillopora_acuta_HIv2___RNAseq.g27713.t1",0
"101","Pocillopora_acuta_HIv2___RNAseq.g27715.t1a",0
"102","Pocillopora_acuta_HIv2___RNAseq.g27739.t1",1.63948529068715e-70
"103","Pocillopora_acuta_HIv2___TS.g10502.t1",1.00100622249662e-234
"104","Pocillopora_acuta_HIv2___RNAseq.g27773.t1",1.85340759734739e-315
"105","Pocillopora_acuta_HIv2___RNAseq.g27786.t1",0.0147881551795441
"106","Pocillopora_acuta_HIv2___RNAseq.g27788.t1",0.144113085713417
"107","Pocillopora_acuta_HIv2___TS.g10554.t3",5.66221909330839e-05
"108","Pocillopora_acuta_HIv2___RNAseq.g27792.t1",0.863432479331391
"109","Pocillopora_acuta_HIv2___RNAseq.g27793.t1",0.0113906652499723
"110","Pocillopora_acuta_HIv2___RNAseq.g27794.t1b",0.204212209625648
"111","Pocillopora_acuta_HIv2___TS.g10560.t2",0.0520923043701412
"112","Pocillopora_acuta_HIv2___RNAseq.g27797.t1",0.819326759765873
"113","Pocillopora_acuta_HIv2___RNAseq.403_t",0.0763857743069721
"114","Pocillopora_acuta_HIv2___RNAseq.g27801.t1",2.96007270365484e-06
"115","Pocillopora_acuta_HIv2___RNAseq.g27806.t1",0.00680875233833105
"116","Pocillopora_acuta_HIv2___RNAseq.g27811.t1",0.61722243705567
"117","Pocillopora_acuta_HIv2___RNAseq.g27812.t1",7.37938083400424e-52
"118","Pocillopora_acuta_HIv2___RNAseq.g27815.t1",5.19786242178782e-104
"119","Pocillopora_acuta_HIv2___RNAseq.g27816.t1",5.7380810471177e-16
"120","Pocillopora_acuta_HIv2___RNAseq.g27820.t1",0
"121","Pocillopora_acuta_HIv2___RNAseq.g27833.t1",0
"122","Pocillopora_acuta_HIv2___RNAseq.g27834.t1",0
"123","Pocillopora_acuta_HIv2___RNAseq.g27838.t1",0.00540307379419658
"124","Pocillopora_acuta_HIv2___RNAseq.g27839.t1",0.00647148048137054
"125","Pocillopora_acuta_HIv2___TS.g10619.t1",4.14210736354444e-67
"126","Pocillopora_acuta_HIv2___TS.g10620.t1",0.000105039023395452
"127","Pocillopora_acuta_HIv2___TS.g10623.t1",0.54974516280297
"128","Pocillopora_acuta_HIv2___TS.g10626.t1",0.168911807497706
"129","Pocillopora_acuta_HIv2___TS.g10627.t2",3.57993175895656e-09
"130","Pocillopora_acuta_HIv2___TS.g10629.t3",0.808185066111516
"131","Pocillopora_acuta_HIv2___TS.g10630.t1",4.91034998050869e-151
"132","Pocillopora_acuta_HIv2___TS.g10631.t1",6.88607748895921e-05
"133","Pocillopora_acuta_HIv2___TS.g10632.t1",4.74591056110441e-07
"134","Pocillopora_acuta_HIv2___TS.g10633.t1",0.253241998633204
"135","Pocillopora_acuta_HIv2___RNAseq.g27870.t1",0.677691908861577
"136","Pocillopora_acuta_HIv2___RNAseq.g27877.t1",0.0272672835438308
"137","Pocillopora_acuta_HIv2___RNAseq.g27881.t1",0.00264934646110672
"138","Pocillopora_acuta_HIv2___RNAseq.g27882.t1",7.00687955518781e-224
